cp7,concelho,distrito
8100-645,,
8125-000,,
8125-810,,
8125-161,,
8125-155,,
8700-000,,
8700-045,,
8700-168,,
8700-229,,
8700-244,,
8365-000,,
8300-000,,
8800-436,,
8800-000,,
8800-465,,
8500-470,,
8500-517,,
8500-803,,
8500-000,,
8500-301,,
8500-447,,
8500-516,,
8500-295,,
8500-482,,
8500-079,,
8500-838,,
8500-779,,
8500-312,,
8500-053,,
8500-713,,
8200-916,,
8200-361,,
8200-238,,
8950-000,,
8400-000,,
8150-000,,
8900-489,,
8900-414,,
8900-000,,
8900-100,,
4820-000,,
4710-174,,
4700-000,,
4700-164,,
4710-038,,
4705-000,,
4700-249,,
4700-761,,
4710-000,,
4715-000,,
4700-913,,
4710-358,,
4710-252,,
4700-189,,
4700-012,,
4720-000,,
4815-766,,
4815-000,,
4750-206,,
4755-000,,
4750-000,,
4740-000,,
4740-307,,
4805-000,,
4810-000,,
4810-536,,
4765-698,,
4810-545,,
4810-248,,
4765-469,,
4800-000,,
4835-024,,
4810-082,,
4835-000,,
4810-066,,
4730-714,,
4730-687,,
4730-000,,
4730-118,,
4830-000,,
4890-000,,
4765-631,,
4760-000,,
4765-000,,
4770-000,,
7000-773,,
7000-699,,
7005-000,,
7000-233,,
7170-000,,
7040-000,,
7150-000,,
7160-000,,
7050-000,,
7200-000,,
7200-490,,
4470-538,,
4475-000,,
4425-131,,
4425-299,,
4425-244,,
4475-316,,
4470-000,,
4425-000,,
4640-000,,
4250-000,,
4000-000,,
4300-000,,
4100-155,,
4000-317,,
4200-275,,
4350-000,,
4100-467,,
4200-000,,
4200-300,,
4050-000,,
4100-000,,
4200-402,,
4000-127,,
4150-000,,
4150-073,,
4745-000,,
4785-000,,
4620-151,,
4620-000,,
4580-384,,
4580-498,,
4580-851,,
4585-942,,
4585-477,,
4585-029,,
4580-000,,
4580-521,,
4580-639,,
4580-572,,
4585-921,,
4580-517,,
4585-000,,
4445-000,,
4440-000,,
4615-517,,
4605-000,,
4600-000,,
4615-283,,
4510-000,,
4510-514,,
4420-000,,
4435-726,,
4435-359,,
4420-592,,
4510-611,,
4420-630,,
4435-064,,
4435-779,,
4435-000,,
4435-304,,
4575-201,,
4560-000,,
4575-116,,
4560-842,,
4560-868,,
4560-830,,
4575-000,,
4610-163,,
4615-000,,
4650-000,,
4610-719,,
4615-352,,
4610-000,,
4610-606,,
4450-716,,
4465-760,,
4460-757,,
4465-668,,
4460-092,,
4465-065,,
4460-808,,
4455-819,,
4460-000,,
4465-000,,
4460-016,,
4450-169,,
4450-421,,
4465-705,,
4450-450,,
4455-000,,
4450-397,,
4450-000,,
4465-034,,
4455-160,,
4450-409,,
4465-050,,
4780-000,,
4795-000,,
4485-967,,
4485-000,,
4480-736,,
4480-000,,
4480-679,,
4480-739,,
4480-206,,
4495-000,,
4495-617,,
4495-595,,
4495-627,,
4495-631,,
4495-641,,
4495-494,,
4490-000,,
4595-000,,
4590-000,,
4415-000,,
4415-567,,
4405-495,,
4400-494,,
4400-000,,
4400-104,,
4430-634,,
4413-302,,
4410-000,,
4415-568,,
4410-315,,
4400-719,,
4405-000,,
4430-000,,
4415-294,,
4405-112,,
4405-387,,
4625-000,,
4635-000,,
4625-541,,
4630-000,,
4630-211,,
3520-042,,
3520-000,,
3500-022,,
3515-475,,
3510-000,,
3510-143,,
3510-792,,
3500-504,,
3500-000,,
3515-000,,
3505-093,,
3510-166,,
3510-215,,
3515-386,,
3510-314,,
3500-462,,
3505-000,,
3505-513,,
3510-588,,
5100-008,,
5100-000,,
5100-183,,
5100-020,,
5100-207,,
5100-007,,
4660-000,,
3610-168,,
3530-138,,
3430-000,,
3430-010,,
3440-397,,
3440-000,,
3660-169,,
3660-000,,
3680-000,,
5130-000,,
3880-000,,
3885-000,,
3840-222,,
3840-000,,
3750-761,,
3750-000,,
3750-839,,
3780-000,,
4540-000,,
3800-278,,
3810-000,,
3800-000,,
3810-330,,
3800-825,,
3830-000,,
3830-889,,
4500-294,,
4500-000,,
3050-000,,
3730-000,,
4550-000,,
3770-000,,
3720-000,,
3720-141,,
3720-924,,
3700-010,,
3700-000,,
4520-555,,
4520-751,,
4520-907,,
4520-001,,
4505-000,,
4535-196,,
4525-000,,
4520-467,,
4535-000,,
4520-000,,
4535-062,,
6300-340,,
2400-809,,
2420-649,,
2425-000,,
2400-533,,
2415-000,,
2415-640,,
2420-075,,
2400-078,,
2400-163,,
2410-000,,
2420-000,,
2400-000,,
3105-561,,
3100-534,,
3100-130,,
3105-000,,
3100-000,,
2440-000,,
2520-000,,
2460-000,,
2475-000,,
2540-000,,
2480-000,,
2485-000,,
2430-822,,
2430-000,,
2430-202,,
2430-011,,
2430-170,,
2430-391,,
2430-070,,
2430-359,,
2500-000,,
2665-000,,
2640-585,,
2640-000,,
2655-505,,
2655-000,,
1990-337,,
1050-000,,
1750-000,,
1070-000,,
1950-422,,
1900-000,,
1950-418,,
1600-000,,
1990-000,,
1000-000,,
1350-184,,
1990-307,,
1600-260,,
1900-718,,
1400-151,,
1950-017,,
1300-000,,
1800-000,,
1603-160,,
1400-000,,
1750-491,,
1990-080,,
1990-031,,
1250-000,,
1170-000,,
1700-000,,
1600-369,,
1600-352,,
1100-000,,
1750-213,,
1200-000,,
1950-000,,
1150-000,,
1750-382,,
1750-383,,
1350-000,,
1500-000,,
2685-000,,
2680-436,,
2695-749,,
2695-764,,
2685-119,,
2680-000,,
2690-771,,
1885-000,,
2695-000,,
2690-396,,
2670-000,,
2690-099,,
2680-251,,
2670-402,,
1990-105,,
1990-102,,
2695-369,,
2660-000,,
2690-650,,
2695-179,,
2695-375,,
2690-000,,
2695-200,,
2730-000,,
2780-000,,
2770-000,,
2790-000,,
1495-073,,
2740-204,,
2740-734,,
2740-000,,
1495-000,,
2795-000,,
2760-000,,
2635-000,,
2725-000,,
2605-466,,
2705-589,,
2710-000,,
2635-479,,
2635-070,,
2705-000,,
2745-376,,
2715-251,,
2745-628,,
2715-770,,
2715-000,,
2745-000,,
2605-465,,
2715-147,,
2735-000,,
2605-000,,
2605-462,,
2720-754,,
2610-000,,
2720-824,,
2720-000,,
2650-000,,
2723-272,,
2650-762,,
2610-535,,
2700-000,,
2720-823,,
2779-513,,
2765-000,,
2645-383,,
2785-354,,
2785-000,,
2645-154,,
2750-000,,
2755-000,,
2765-004,,
2775-000,,
2645-000,,
2775-050,,
2755-074,,
2765-718,,
2580-000,,
2580-523,,
2580-540,,
2050-044,,
2050-000,,
2050-453,,
2530-000,,
2675-070,,
2675-063,,
2620-541,,
1675-132,,
1685-555,,
2675-000,,
2675-223,,
1685-000,,
2620-000,,
2620-740,,
2620-372,,
1675-210,,
2675-522,,
1675-000,,
2565-000,,
2560-000,,
2630-000,,
2600-407,,
2625-736,,
2615-000,,
2600-536,,
2625-000,,
2600-000,,
3070-673,,
3070-000,,
3070-016,,
3200-000,,
3200-199,,
3130-000,,
3420-000,,
3150-350,,
3045-530,,
3045-414,,
3045-000,,
3040-031,,
3040-000,,
3030-258,,
3030-770,,
3030-294,,
3045-409,,
3045-231,,
3020-268,,
3040-310,,
3020-433,,
3040-012,,
3030-000,,
3045-222,,
3040-196,,
3030-452,,
3025-000,,
3000-000,,
3020-000,,
3060-021,,
3060-356,,
3060-000,,
3150-000,,
3080-304,,
3080-000,,
3090-000,,
3080-217,,
3220-000,,
3140-000,,
2835-000,,
2860-000,,
2820-000,,
2815-698,,
2815-671,,
2825-000,,
2825-781,,
2815-000,,
2800-000,,
2815-766,,
2800-546,,
2810-362,,
2805-000,,
2810-000,,
2840-432,,
2845-000,,
2840-056,,
2840-609,,
2865-000,,
2840-000,,
2865-065,,
2840-010,,
2855-000,,
2855-832,,
2870-170,,
2870-000,,
2870-083,,
2955-000,,
2950-000,,
2900-000,,
2900-620,,
2925-000,,
2925-806,,
2925-795,,
2910-000,,
2830-000,,
2835-024,,
2835-021,,
7570-007,,
2970-000,,
2970-140,,
2975-000,,
2890-000,,
2890-461,,
2890-396,,
7595-000,,
7580-000,,
5300-670,,
5300-000,Bragança,Bragança
5370-529,,
5370-511,,
5360-000,,
5350-000,,
5180-182,Freixo de Espada à Cinta,Bragança
2495-473,,
2495-000,,
2490-000,Ourém,Santarém
2490-513,,
2300-000,,
2300-348,,
2305-000,,
2300-314,,
2150-000,,
2150-120,,
2070-000,,
2100-000,,
2200-000,,
2205-000,,
2200-386,,
2200-021,,
2380-000,,
2080-000,,
2090-000,,
2005-000,,
2025-000,,
2005-066,,
2000-000,,
2005-324,,
2130-025,,
2135-000,,
2130-109,,
2130-243,,
2130-000,,
2130-217,,
2130-234,,
2130-021,,
2130-022,,
2040-000,,
2330-088,,
2330-086,,
2330-000,,
2330-085,,
2120-000,,
5400-422,,
5400-000,,
5430-000,,
5000-000,,
5050-000,,
4880-000,,
5450-000,,
5030-000,,
7350-000,,
7350-297,,
7350-226,,
7350-301,,
7450-000,,
7300-000,,
9760-127,,
9760-025,Praia da Vitória,Ilha Terceira
9760-037,,
9760-287,,
9760-035,Praia da Vitória,Ilha Terceira
9760-032,Praia da Vitória,Ilha Terceira
9760-191,,
9760-023,Praia da Vitória,Ilha Terceira
9760-028,Praia da Vitória,Ilha Terceira
9760-031,Praia da Vitória,Ilha Terceira
9760-426,,
9760-520,,
9760-198,,
9760-505,,
9760-213,,
9760-014,Praia da Vitória,Ilha Terceira
9760-017,Praia da Vitória,Ilha Terceira
9760-011,Praia da Vitória,Ilha Terceira
9760-039,Praia da Vitória,Ilha Terceira
9760-575,,
9760-273,,
9760-419,,
9760-016,Praia da Vitória,Ilha Terceira
9760-286,,
9760-012,Praia da Vitória,Ilha Terceira
9760-019,Praia da Vitória,Ilha Terceira
9760-851,,
9760-192,,
9760-024,Praia da Vitória,Ilha Terceira
9760-033,Praia da Vitória,Ilha Terceira
9760-251,Praia da Vitória,Ilha Terceira
9760-038,Praia da Vitória,Ilha Terceira
9760-119,,
9760-029,Praia da Vitória,Ilha Terceira
9760-030,Praia da Vitória,Ilha Terceira
9760-564,,
9760-196,,
9760-018,Praia da Vitória,Ilha Terceira
9760-099,Praia da Vitória,Ilha Terceira
9760-026,Praia da Vitória,Ilha Terceira
9760-021,Praia da Vitória,Ilha Terceira
9760-496,,
9760-036,Praia da Vitória,Ilha Terceira
9760-022,,
9760-020,Praia da Vitória,Ilha Terceira
9700-086,Angra do Heroísmo,Ilha Terceira
9700-042,Angra do Heroísmo,Ilha Terceira
9700-099,Angra do Heroísmo,Ilha Terceira
9700-072,Angra do Heroísmo,Ilha Terceira
9700-020,Angra do Heroísmo,Ilha Terceira
9700-039,Angra do Heroísmo,Ilha Terceira
9700-050,Angra do Heroísmo,Ilha Terceira
9700-065,Angra do Heroísmo,Ilha Terceira
9700-053,Angra do Heroísmo,Ilha Terceira
9700-019,Angra do Heroísmo,Ilha Terceira
9700-044,Angra do Heroísmo,Ilha Terceira
9700-070,Angra do Heroísmo,Ilha Terceira
9700-021,Angra do Heroísmo,Ilha Terceira
9700-096,Angra do Heroísmo,Ilha Terceira
9700-016,Angra do Heroísmo,Ilha Terceira
9700-059,Angra do Heroísmo,Ilha Terceira
9700-015,Angra do Heroísmo,Ilha Terceira
9700-088,Angra do Heroísmo,Ilha Terceira
9700-131,,
9700-085,Angra do Heroísmo,Ilha Terceira
9700-012,Angra do Heroísmo,Ilha Terceira
9700-026,Angra do Heroísmo,Ilha Terceira
9700-009,Angra do Heroísmo,Ilha Terceira
9700-081,Angra do Heroísmo,Ilha Terceira
9700-066,Angra do Heroísmo,Ilha Terceira
9700-017,Angra do Heroísmo,Ilha Terceira
9700-040,Angra do Heroísmo,Ilha Terceira
9700-013,Angra do Heroísmo,Ilha Terceira
9700-060,Angra do Heroísmo,Ilha Terceira
9700-718,,
9700-077,Angra do Heroísmo,Ilha Terceira
9700-022,Angra do Heroísmo,Ilha Terceira
9700-080,Angra do Heroísmo,Ilha Terceira
9700-069,Angra do Heroísmo,Ilha Terceira
9700-041,Angra do Heroísmo,Ilha Terceira
9700-043,Angra do Heroísmo,Ilha Terceira
9700-051,Angra do Heroísmo,Ilha Terceira
9700-061,Angra do Heroísmo,Ilha Terceira
9700-073,Angra do Heroísmo,Ilha Terceira
9700-055,Angra do Heroísmo,Ilha Terceira
9700-092,Angra do Heroísmo,Ilha Terceira
9700-023,Angra do Heroísmo,Ilha Terceira
9700-087,Angra do Heroísmo,Ilha Terceira
9700-097,Angra do Heroísmo,Ilha Terceira
9700-079,Angra do Heroísmo,Ilha Terceira
9700-550,,
9700-062,Angra do Heroísmo,Ilha Terceira
9700-091,Angra do Heroísmo,Ilha Terceira
9700-011,Angra do Heroísmo,Ilha Terceira
9700-014,Angra do Heroísmo,Ilha Terceira
9700-094,Angra do Heroísmo,Ilha Terceira
9700-078,Angra do Heroísmo,Ilha Terceira
9700-027,Angra do Heroísmo,Ilha Terceira
9700-046,Angra do Heroísmo,Ilha Terceira
9700-052,Angra do Heroísmo,Ilha Terceira
9700-025,Angra do Heroísmo,Ilha Terceira
9700-054,Angra do Heroísmo,Ilha Terceira
9700-093,Angra do Heroísmo,Ilha Terceira
9700-028,Angra do Heroísmo,Ilha Terceira
9700-068,Angra do Heroísmo,Ilha Terceira
9700-037,Angra do Heroísmo,Ilha Terceira
9700-033,Angra do Heroísmo,Ilha Terceira
9700-049,Angra do Heroísmo,Ilha Terceira
9700-024,Angra do Heroísmo,Ilha Terceira
9700-089,Angra do Heroísmo,Ilha Terceira
9700-029,Angra do Heroísmo,Ilha Terceira
9700-064,Angra do Heroísmo,Ilha Terceira
9700-058,Angra do Heroísmo,Ilha Terceira
9700-076,Angra do Heroísmo,Ilha Terceira
9700-082,Angra do Heroísmo,Ilha Terceira
9700-075,Angra do Heroísmo,Ilha Terceira
9700-032,Angra do Heroísmo,Ilha Terceira
9700-038,Angra do Heroísmo,Ilha Terceira
9700-035,Angra do Heroísmo,Ilha Terceira
9700-045,Angra do Heroísmo,Ilha Terceira
9700-047,Angra do Heroísmo,Ilha Terceira
9700-199,,
9700-056,Angra do Heroísmo,Ilha Terceira
9700-098,Angra do Heroísmo,Ilha Terceira
9700-030,Angra do Heroísmo,Ilha Terceira
9900-070,Horta,Ilha do Faial
9900-099,Horta,Ilha do Faial
9900-087,,
9900-367,,
9900-039,Horta,Ilha do Faial
9900-018,Horta,Ilha do Faial
9900-078,Horta,Ilha do Faial
9900-066,Horta,Ilha do Faial
9900-091,Horta,Ilha do Faial
9900-016,Horta,Ilha do Faial
9900-020,Horta,Ilha do Faial
9900-084,Horta,Ilha do Faial
9900-049,,
9900-082,Horta,Ilha do Faial
9900-053,Horta,Ilha do Faial
9900-069,Horta,Ilha do Faial
9900-024,Horta,Ilha do Faial
9900-083,Horta,Ilha do Faial
9900-028,Horta,Ilha do Faial
9900-074,Horta,Ilha do Faial
9900-096,Horta,Ilha do Faial
9900-086,Horta,Ilha do Faial
9900-073,Horta,Ilha do Faial
9900-037,Horta,Ilha do Faial
9900-038,Horta,Ilha do Faial
9900-046,Horta,Ilha do Faial
9900-328,,
9900-031,Horta,Ilha do Faial
9900-071,Horta,Ilha do Faial
9900-345,,
9900-058,Horta,Ilha do Faial
9900-017,Horta,Ilha do Faial
9900-019,Horta,Ilha do Faial
9900-023,Horta,Ilha do Faial
9900-076,Horta,Ilha do Faial
9900-344,,
9900-050,Horta,Ilha do Faial
9900-065,Horta,Ilha do Faial
9900-081,Horta,Ilha do Faial
9900-077,Horta,Ilha do Faial
9900-346,,
9900-062,Horta,Ilha do Faial
9900-021,Horta,Ilha do Faial
9900-011,Horta,Ilha do Faial
9900-085,Horta,Ilha do Faial
9900-094,Horta,Ilha do Faial
9900-045,Horta,Ilha do Faial
9900-326,,
9900-056,Horta,Ilha do Faial
9900-064,Horta,Ilha do Faial
9900-089,Horta,Ilha do Faial
9900-026,Horta,Ilha do Faial
9900-027,Horta,Ilha do Faial
9900-059,Horta,Ilha do Faial
9900-374,,
9900-013,Horta,Ilha do Faial
9900-329,,
9900-364,,
9900-080,Horta,Ilha do Faial
9900-097,Horta,Ilha do Faial
9900-057,Horta,Ilha do Faial
9900-029,Horta,Ilha do Faial
9900-067,Horta,Ilha do Faial
9900-044,Horta,Ilha do Faial
9900-322,,
9900-063,Horta,Ilha do Faial
9900-015,Horta,Ilha do Faial
9900-075,Horta,Ilha do Faial
9900-095,Horta,Ilha do Faial
9900-014,Horta,Ilha do Faial
9900-093,Horta,Ilha do Faial
9900-052,Horta,Ilha do Faial
9900-098,Horta,Ilha do Faial
6230-000,,
6230-526,Fundão,Castelo Branco
6200-251,Covilhã,Castelo Branco
6200-876,Covilhã,Castelo Branco
6200-875,Covilhã,Castelo Branco
6000-781,Castelo Branco,Castelo Branco
9000-176,Funchal,Ilha da Madeira
9000-150,Funchal,Ilha da Madeira
9000-198,Funchal,Ilha da Madeira
9000-268,Funchal,Ilha da Madeira
9000-783,Funchal,Ilha da Madeira
9020-021,Funchal,Ilha da Madeira
9000-605,Funchal,Ilha da Madeira
9000-180,Funchal,Ilha da Madeira
9000-073,Funchal,Ilha da Madeira
9050-450,Funchal,Ilha da Madeira
9060-300,Funchal,Ilha da Madeira
9000-260,Funchal,Ilha da Madeira
9000-634,Funchal,Ilha da Madeira
9050-059,Funchal,Ilha da Madeira
9020-086,Funchal,Ilha da Madeira
9000-769,Funchal,Ilha da Madeira
9000-029,Funchal,Ilha da Madeira
9050-225,Funchal,Ilha da Madeira
9000-223,Funchal,Ilha da Madeira
9000-136,Funchal,Ilha da Madeira
9020-111,Funchal,Ilha da Madeira
9000-058,Funchal,Ilha da Madeira
9000-621,Funchal,Ilha da Madeira
9050-075,Funchal,Ilha da Madeira
9020-276,Funchal,Ilha da Madeira
9020-245,Funchal,Ilha da Madeira
9000-662,Funchal,Ilha da Madeira
9000-774,Funchal,Ilha da Madeira
9020-416,Funchal,Ilha da Madeira
9060-239,Funchal,Ilha da Madeira
9020-402,Funchal,Ilha da Madeira
9000-115,Funchal,Ilha da Madeira
9000-679,Funchal,Ilha da Madeira
9000-264,Funchal,Ilha da Madeira
9000-705,Funchal,Ilha da Madeira
9020-047,Funchal,Ilha da Madeira
9000-779,Funchal,Ilha da Madeira
9000-191,Funchal,Ilha da Madeira
9020-396,Funchal,Ilha da Madeira
9000-771,Funchal,Ilha da Madeira
9000-683,Funchal,Ilha da Madeira
9000-098,Funchal,Ilha da Madeira
9000-243,Funchal,Ilha da Madeira
9020-223,Funchal,Ilha da Madeira
9020-261,Funchal,Ilha da Madeira
9000-247,Funchal,Ilha da Madeira
9050-457,Funchal,Ilha da Madeira
9000-031,Funchal,Ilha da Madeira
9000-604,Funchal,Ilha da Madeira
9050-021,Funchal,Ilha da Madeira
9000-025,Funchal,Ilha da Madeira
9000-269,Funchal,Ilha da Madeira
9000-003,Funchal,Ilha da Madeira
9000-737,Funchal,Ilha da Madeira
9020-393,Funchal,Ilha da Madeira
9000-664,Funchal,Ilha da Madeira
9000-682,Funchal,Ilha da Madeira
9000-222,Funchal,Ilha da Madeira
9000-183,Funchal,Ilha da Madeira
9020-122,Funchal,Ilha da Madeira
9050-025,Funchal,Ilha da Madeira
9000-215,Funchal,Ilha da Madeira
9020-323,Funchal,Ilha da Madeira
9000-241,Funchal,Ilha da Madeira
9000-044,Funchal,Ilha da Madeira
9000-637,Funchal,Ilha da Madeira
9000-721,Funchal,Ilha da Madeira
9060-185,Funchal,Ilha da Madeira
9020-418,Funchal,Ilha da Madeira
9020-412,Funchal,Ilha da Madeira
9000-169,Funchal,Ilha da Madeira
9000-161,Funchal,Ilha da Madeira
9000-217,Funchal,Ilha da Madeira
9004-509,Funchal,Ilha da Madeira
9000-199,Funchal,Ilha da Madeira
9020-071,Funchal,Ilha da Madeira
9000-256,Funchal,Ilha da Madeira
9000-103,Funchal,Ilha da Madeira
9020-002,Funchal,Ilha da Madeira
9000-177,Funchal,Ilha da Madeira
9050-234,Funchal,Ilha da Madeira
9000-685,Funchal,Ilha da Madeira
9000-738,Funchal,Ilha da Madeira
9000-202,Funchal,Ilha da Madeira
9020-117,Funchal,Ilha da Madeira
9000-087,Funchal,Ilha da Madeira
9000-062,Funchal,Ilha da Madeira
9020-209,Funchal,Ilha da Madeira
9000-200,Funchal,Ilha da Madeira
9050-071,Funchal,Ilha da Madeira
9000-775,Funchal,Ilha da Madeira
9050-000,,
9020-417,Funchal,Ilha da Madeira
9020-165,Funchal,Ilha da Madeira
9050-079,Funchal,Ilha da Madeira
9000-665,Funchal,Ilha da Madeira
9020-095,Funchal,Ilha da Madeira
9000-074,Funchal,Ilha da Madeira
9000-606,Funchal,Ilha da Madeira
9000-056,Funchal,Ilha da Madeira
9000-159,Funchal,Ilha da Madeira
9050-012,Funchal,Ilha da Madeira
9000-179,Funchal,Ilha da Madeira
9000-164,Funchal,Ilha da Madeira
9000-622,Funchal,Ilha da Madeira
9000-140,Funchal,Ilha da Madeira
9050-011,Funchal,Ilha da Madeira
9020-024,Funchal,Ilha da Madeira
9020-283,Funchal,Ilha da Madeira
9020-262,Funchal,Ilha da Madeira
9000-079,Funchal,Ilha da Madeira
9060-000,,
9000-189,Funchal,Ilha da Madeira
9020-064,Funchal,Ilha da Madeira
9000-120,Funchal,Ilha da Madeira
9000-123,Funchal,Ilha da Madeira
9050-019,Funchal,Ilha da Madeira
9000-046,Funchal,Ilha da Madeira
9000-777,Funchal,Ilha da Madeira
9000-764,Funchal,Ilha da Madeira
9000-768,Funchal,Ilha da Madeira
9000-638,Funchal,Ilha da Madeira
9020-063,Funchal,Ilha da Madeira
9020-381,Funchal,Ilha da Madeira
9000-143,Funchal,Ilha da Madeira
9000-030,Funchal,Ilha da Madeira
9004-527,Funchal,Ilha da Madeira
9060-137,Funchal,Ilha da Madeira
9000-049,Funchal,Ilha da Madeira
9000-032,Funchal,Ilha da Madeira
9004-541,Funchal,Ilha da Madeira
9000-110,Funchal,Ilha da Madeira
9020-012,Funchal,Ilha da Madeira
9060-073,Funchal,Ilha da Madeira
9020-135,Funchal,Ilha da Madeira
9000-204,Funchal,Ilha da Madeira
9000-060,Funchal,Ilha da Madeira
9050-051,Funchal,Ilha da Madeira
9000-205,Funchal,Ilha da Madeira
9000-072,Funchal,Ilha da Madeira
9050-015,Funchal,Ilha da Madeira
9050-046,Funchal,Ilha da Madeira
9000-054,Funchal,Ilha da Madeira
9000-149,Funchal,Ilha da Madeira
9050-023,Funchal,Ilha da Madeira
9004-520,Funchal,Ilha da Madeira
9000-013,Funchal,Ilha da Madeira
9000-089,Funchal,Ilha da Madeira
9020-158,Funchal,Ilha da Madeira
9050-067,Funchal,Ilha da Madeira
9000-021,Funchal,Ilha da Madeira
9050-068,Funchal,Ilha da Madeira
9020-045,Funchal,Ilha da Madeira
9000-051,Funchal,Ilha da Madeira
9000-158,Funchal,Ilha da Madeira
9000-040,Funchal,Ilha da Madeira
9000-036,Funchal,Ilha da Madeira
9000-084,Funchal,Ilha da Madeira
9000-067,Funchal,Ilha da Madeira
9000-696,Funchal,Ilha da Madeira
9000-720,Funchal,Ilha da Madeira
9050-027,Funchal,Ilha da Madeira
9020-330,Funchal,Ilha da Madeira
9050-028,Funchal,Ilha da Madeira
9020-034,Funchal,Ilha da Madeira
9020-032,Funchal,Ilha da Madeira
9000-708,Funchal,Ilha da Madeira
9000-184,Funchal,Ilha da Madeira
9050-062,Funchal,Ilha da Madeira
9000-616,Funchal,Ilha da Madeira
9050-020,Funchal,Ilha da Madeira
9000-684,Funchal,Ilha da Madeira
9050-445,Funchal,Ilha da Madeira
9000-649,Funchal,Ilha da Madeira
9000-005,Funchal,Ilha da Madeira
9000-612,Funchal,Ilha da Madeira
9000-680,Funchal,Ilha da Madeira
9000-068,Funchal,Ilha da Madeira
9000-246,Funchal,Ilha da Madeira
9050-070,Funchal,Ilha da Madeira
9020-105,Funchal,Ilha da Madeira
9000-083,Funchal,Ilha da Madeira
9050-053,Funchal,Ilha da Madeira
9020-316,Funchal,Ilha da Madeira
9020-123,Funchal,Ilha da Madeira
9000-645,Funchal,Ilha da Madeira
9000-236,Funchal,Ilha da Madeira
9020-415,Funchal,Ilha da Madeira
9050-401,Funchal,Ilha da Madeira
9000-614,Funchal,Ilha da Madeira
9000-042,Funchal,Ilha da Madeira
9000-045,Funchal,Ilha da Madeira
9000-749,Funchal,Ilha da Madeira
9050-047,Funchal,Ilha da Madeira
9000-065,Funchal,Ilha da Madeira
9004-516,Funchal,Ilha da Madeira
9004-512,Funchal,Ilha da Madeira
9000-034,Funchal,Ilha da Madeira
9050-089,Funchal,Ilha da Madeira
9050-024,Funchal,Ilha da Madeira
9000-057,Funchal,Ilha da Madeira
9000-267,Funchal,Ilha da Madeira
9020-015,Funchal,Ilha da Madeira
9000-018,Funchal,Ilha da Madeira
9000-026,Funchal,Ilha da Madeira
9000-075,Funchal,Ilha da Madeira
9000-747,Funchal,Ilha da Madeira
9060-160,Funchal,Ilha da Madeira
9000-265,Funchal,Ilha da Madeira
9000-669,Funchal,Ilha da Madeira
9000-047,Funchal,Ilha da Madeira
9020-187,Funchal,Ilha da Madeira
9060-011,Funchal,Ilha da Madeira
9600-099,,
9050-489,Funchal,Ilha da Madeira
9000-043,Funchal,Ilha da Madeira
9000-190,Funchal,Ilha da Madeira
9050-080,Funchal,Ilha da Madeira
9000-742,Funchal,Ilha da Madeira
9004-524,Funchal,Ilha da Madeira
9000-144,Funchal,Ilha da Madeira
9000-743,Funchal,Ilha da Madeira
9060-194,Funchal,Ilha da Madeira
9000-206,Funchal,Ilha da Madeira
9000-016,Funchal,Ilha da Madeira
9020-409,Funchal,Ilha da Madeira
9000-727,Funchal,Ilha da Madeira
9000-736,Funchal,Ilha da Madeira
9000-765,Funchal,Ilha da Madeira
9050-069,Funchal,Ilha da Madeira
9000-160,Funchal,Ilha da Madeira
9000-192,Funchal,Ilha da Madeira
9050-328,Funchal,Ilha da Madeira
9000-782,Funchal,Ilha da Madeira
9000-628,Funchal,Ilha da Madeira
9000-647,Funchal,Ilha da Madeira
9000-171,Funchal,Ilha da Madeira
9004-537,Funchal,Ilha da Madeira
9000-163,Funchal,Ilha da Madeira
9000-082,Funchal,Ilha da Madeira
9000-061,Funchal,Ilha da Madeira
9000-663,Funchal,Ilha da Madeira
9000-015,Funchal,Ilha da Madeira
9050-440,Funchal,Ilha da Madeira
9000-216,Funchal,Ilha da Madeira
9000-208,Funchal,Ilha da Madeira
9020-040,Funchal,Ilha da Madeira
9000-759,Funchal,Ilha da Madeira
9000-153,Funchal,Ilha da Madeira
9000-162,Funchal,Ilha da Madeira
9020-102,Funchal,Ilha da Madeira
9000-500,Funchal,Ilha da Madeira
9000-187,Funchal,Ilha da Madeira
9000-113,Funchal,Ilha da Madeira
9000-266,Funchal,Ilha da Madeira
9000-012,Funchal,Ilha da Madeira
9000-168,Funchal,Ilha da Madeira
9000-039,Funchal,Ilha da Madeira
9050-026,Funchal,Ilha da Madeira
9000-145,Funchal,Ilha da Madeira
9020-130,Funchal,Ilha da Madeira
9000-735,Funchal,Ilha da Madeira
9000-105,Funchal,Ilha da Madeira
9000-716,Funchal,Ilha da Madeira
9000-221,Funchal,Ilha da Madeira
9000-756,Funchal,Ilha da Madeira
9020-027,Funchal,Ilha da Madeira
9020-072,Funchal,Ilha da Madeira
9000-116,Funchal,Ilha da Madeira
9000-019,Funchal,Ilha da Madeira
9000-070,Funchal,Ilha da Madeira
9000-248,Funchal,Ilha da Madeira
9050-048,Funchal,Ilha da Madeira
9020-329,Funchal,Ilha da Madeira
9020-001,Funchal,Ilha da Madeira
9000-428,,
9050-206,Funchal,Ilha da Madeira
9000-213,Funchal,Ilha da Madeira
9000-090,Funchal,Ilha da Madeira
9020-426,Funchal,Ilha da Madeira
9050-447,Funchal,Ilha da Madeira
